title,platform,total_sale,na_sale,pal_sale,japan_sale,other_sale
Harry Potter and the Sorcerer's Stone,PlayStation,3.73,1.37,2.00,0.14,0.22
Super Paper Mario,Wii,3.73,1.95,0.87,0.59,0.32
Mario & Sonic at the London 2012 Olympic Games,Wii,3.72,1.12,1.90,0.27,0.43
Resident Evil 3: Nemesis,PlayStation,3.72,1.30,0.77,1.54,0.11
FIFA 17,Xbox One,3.71,1.04,2.40,NA,0.27
Spyro: Year of the Dragon,PlayStation,3.71,1.93,1.58,NA,0.19
FIFA Soccer 2005,PlayStation 2,3.70,0.58,2.48,0.04,0.59
Pokémon Trading Card Game,Game Boy Advance,3.70,1.49,0.73,1.38,0.10
Tomodachi Collection,DS,3.67,NA,NA,3.67,NA
Tony Hawk's Pro Skater 4,PlayStation 2,3.67,2.13,1.18,0.01,0.35
Midnight Club 3: DUB Edition,PSP,3.66,1.65,1.22,NA,0.79
MySims,DS,3.66,1.58,1.60,0.08,0.40
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,3.65,0.22,0.20,3.19,0.04
Banjo-Kazooie,Nintendo 64,3.65,1.87,1.13,0.55,0.10
SOCOM: U.S. Navy SEALs,PlayStation 2,3.65,2.53,0.81,0.06,0.24
Battlefield 4,PlayStation 3,3.64,1.31,1.50,0.27,0.55
Jak and Daxter: The Precursor Legacy,PlayStation 2,3.64,2.08,1.09,0.15,0.33
Pokémon Snap,Nintendo 64,3.63,2.23,0.68,0.66,0.06
Pro Evolution Soccer 2008,PlayStation 2,3.63,0.05,0.00,0.64,2.93
FIFA Soccer 10,PlayStation 3,3.63,0.60,2.46,0.05,0.52
Resident Evil 4,PlayStation 2,3.62,2.08,0.83,0.46,0.25
Guitar Hero: World Tour,Wii,3.62,2.32,0.96,NA,0.34
Gears of War: Ultimate Edition,Xbox One,3.62,2.88,0.37,NA,0.37
Star Wars Battlefront,PlayStation 2,3.61,1.93,1.22,0.03,0.44
Doom II,PC,3.61,2.05,1.40,NA,0.16
The Simpsons: Road Rage,PlayStation 2,3.61,2.02,1.17,NA,0.42
Luigi's Mansion,GameCube,3.60,2.38,0.67,0.46,0.10
Assassin's Creed Syndicate,PlayStation 4,3.60,0.90,2.06,0.08,0.55
Star Wars Battlefront II,PlayStation 2,3.59,2.18,1.02,0.03,0.37
Assassin's Creed: Unity,Xbox One,3.58,2.34,0.90,0.00,0.34
Cooking Mama 2: Dinner With Friends,DS,3.58,1.60,1.49,0.10,0.39
WWF SmackDown!,PlayStation,3.58,2.01,1.35,0.06,0.16
The Legend of Zelda: A Link Between Worlds,3DS,3.57,1.53,1.31,0.47,0.26
Monster Hunter Generations,3DS,3.56,0.42,0.26,2.82,0.07
Croc: Legend of the Gobbos,PlayStation,3.56,1.57,1.79,NA,0.20
Battlefield 4,Xbox 360,3.54,2.16,1.05,0.02,0.32
Grand Theft Auto: Liberty City Stories,PlayStation 2,3.54,1.56,1.40,0.07,0.50
The Getaway,PlayStation 2,3.54,1.23,1.77,0.05,0.49
Tomb Raider III: Adventures of Lara Croft,PlayStation,3.54,1.66,1.58,0.12,0.18
Batman: Arkham Asylum,Xbox 360,3.54,2.24,0.95,0.02,0.33
Gran Turismo 6,PlayStation 3,3.54,0.77,1.87,0.41,0.49
Assassin's Creed: Brotherhood,Xbox 360,3.53,2.87,0.39,0.03,0.25
James Bond 007: Agent Under Fire,PlayStation 2,3.53,1.90,1.13,0.10,0.41
LEGO Star Wars: The Video Game,PlayStation 2,3.53,1.98,1.14,0.01,0.41
Resident Evil 5,Xbox 360,3.53,2.13,0.93,0.12,0.34
Rugrats in Paris: The Movie,PlayStation,3.52,1.96,1.33,NA,0.23
NBA 2K17,PlayStation 4,3.52,2.28,0.59,0.03,0.63
FIFA Soccer 11,Xbox 360,3.52,0.71,2.39,0.02,0.40
Spyro 2: Ripto's Rage!,PlayStation,3.52,2.14,1.21,0.01,0.17
Left 4 Dead,Xbox 360,3.52,2.66,0.49,0.05,0.31
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,3.51,1.17,0.50,1.75,0.08
Kung Fu,NES,3.50,1.64,0.38,1.42,0.06
FIFA Soccer 2004,PlayStation 2,3.49,0.59,2.36,0.04,0.51
Mortal Kombat X,PlayStation 4,3.49,1.94,0.94,NA,0.61
Battlefield: Bad Company 2,Xbox 360,3.48,2.11,1.01,0.04,0.33
Borderlands,Xbox 360,3.48,2.43,0.72,0.03,0.30
Mario & Sonic at the Olympic Winter Games,DS,3.47,1.21,1.63,0.27,0.37
Guitar Hero: On Tour,DS,3.46,2.10,1.01,0.01,0.35
Clubhouse Games,DS,3.45,0.59,1.80,0.73,0.34
Super Mario Maker,Wii U,3.45,1.27,0.94,1.03,0.21
Halo: The Master Chief Collection,Xbox One,3.44,2.06,1.04,0.03,0.31
Monster Hunter 4,3DS,3.44,NA,NA,3.44,NA
LEGO Batman: The Videogame,Xbox 360,3.44,2.07,1.04,NA,0.34
Tekken 4,PlayStation 2,3.44,1.55,1.27,0.33,0.29
FIFA 14,PlayStation 4,3.43,0.62,2.18,0.12,0.51
LittleBigPlanet 2,PlayStation 3,3.43,1.83,1.07,0.06,0.47
Final Fantasy III,SNES,3.42,0.86,NA,2.55,0.02
Grand Theft Auto 2,PlayStation,3.42,1.13,2.07,NA,0.22
Animal Crossing: Happy Home Designer,3DS,3.41,0.71,1.10,1.45,0.15
Destiny,Xbox One,3.41,2.17,0.92,NA,0.32
Spider-Man 2,PlayStation 2,3.41,1.75,1.20,0.02,0.43
F-1 Race,Game Boy Advance,3.41,1.73,0.69,0.59,0.40
FIFA Soccer 2003,PlayStation 2,3.40,0.46,2.28,0.05,0.61
Crash Bash,PlayStation,3.39,1.56,1.47,0.19,0.17
Gears of War 4,Xbox One,3.38,2.17,0.90,NA,0.32
The Elder Scrolls V: Skyrim Special Edition,PlayStation 4,3.36,1.24,1.50,0.08,0.54
Watch Dogs 2,PlayStation 4,3.36,0.98,1.74,0.12,0.52
The Legend of Zelda: Majora's Mask,Nintendo 64,3.36,1.90,0.67,0.73,0.06
WWF War Zone,PlayStation,3.36,2.47,0.76,NA,0.13
Assassin's Creed IV: Black Flag,Xbox 360,3.34,1.90,1.14,0.01,0.30
NBA 2K18,PlayStation 4,3.34,2.13,0.57,0.04,0.59
Rugrats: Search For Reptar,PlayStation,3.34,1.63,1.53,NA,0.18
English Training: Have Fun Improving Your Skills!,DS,3.33,NA,0.99,2.32,0.02
James Bond 007: Nightfire,PlayStation 2,3.33,1.45,1.29,0.12,0.46
Ratchet & Clank,PlayStation 2,3.33,1.44,1.01,0.57,0.30
The Legend of Zelda: Spirit Tracks,DS,3.32,1.40,0.92,0.74,0.26
Star Wars Episode III: Revenge of the Sith,PlayStation 2,3.32,1.47,1.39,0.03,0.43
Resident Evil VII: Biohazard,PlayStation 4,3.31,0.88,1.56,0.41,0.46
Max Payne,PlayStation 2,3.31,1.99,1.05,0.05,0.22
Madden NFL 16,PlayStation 4,3.30,2.39,0.31,NA,0.61
The Lord of the Rings: The Return of the King,PlayStation 2,3.28,1.50,1.28,0.05,0.46
Professor Layton and the Unwound Future,DS,3.28,0.61,1.58,0.82,0.27
Madden NFL 17,PlayStation 4,3.28,2.30,0.37,NA,0.60
True Crime: Streets of LA,PlayStation 2,3.27,1.89,1.05,0.02,0.31
Gran Turismo (PSP),PSP,3.27,0.51,1.59,0.31,0.86
Far Cry 3,PlayStation 3,3.27,0.88,1.79,0.10,0.50
FIFA 16,Xbox One,3.25,0.92,2.10,NA,0.24
Wii Music,Wii,3.25,1.35,1.12,0.46,0.32
Tekken,PlayStation,3.24,0.95,1.30,0.77,0.22
Super Mario Maker,3DS,3.23,0.78,1.04,1.25,0.16
007: Tomorrow Never Dies,PlayStation,3.21,1.72,1.33,NA,0.16
L.A. Noire,PlayStation 3,3.21,1.29,1.31,0.12,0.49
Baseball,NES,3.20,0.73,0.10,2.35,0.02
Killer Instinct,SNES,3.20,2.26,0.72,0.12,0.10
WWF SmackDown! 2: Know Your Role,PlayStation,3.20,1.76,1.21,0.07,0.16
Mario Party 9,Wii,3.20,1.06,1.15,0.77,0.22
Crisis Core: Final Fantasy VII,PSP,3.19,1.35,0.60,0.80,0.44
God of War: Chains of Olympus,PSP,3.19,1.48,1.00,0.04,0.66
Dragon Quest VI: Maboroshi no Daichi,SNES,3.19,NA,NA,3.19,0.00
Middle-Earth: Shadow of Mordor,PlayStation 4,3.19,1.03,1.60,0.05,0.51
Assassin's Creed IV: Black Flag,PlayStation 4,3.19,1.07,1.55,0.06,0.51
Dance Central,Xbox 360,3.18,2.15,0.76,0.01,0.26
Enter the Matrix,PlayStation 2,3.18,1.78,1.12,0.09,0.19
Assassin's Creed Odyssey,PlayStation 4,3.18,1.18,1.40,0.09,0.51
Fallout: New Vegas,PlayStation 3,3.17,1.54,1.04,0.10,0.49
Ace Combat 04: Shattered Skies,PlayStation 2,3.17,2.06,0.56,0.38,0.17
Animal Crossing,GameCube,3.15,1.92,0.16,0.99,0.09
Club Penguin: Elite Penguin Force,DS,3.14,1.87,0.97,NA,0.30
FIFA Soccer 08,PlayStation 2,3.14,0.68,0.00,NA,2.46
FIFA 18,Xbox One,3.14,0.98,1.92,NA,0.23
Spider-Man,PlayStation,3.13,1.70,1.25,0.02,0.16
Sonic Rush,DS,3.13,1.21,1.56,0.06,0.29
Personal Trainer: Cooking,DS,3.13,0.91,1.01,1.03,0.17
Need for Speed III: Hot Pursuit,PlayStation,3.12,2.14,0.86,NA,0.13
Star Wars Episode I Racer,Nintendo 64,3.12,2.31,0.62,0.14,0.04
The Elder Scrolls IV: Oblivion,PlayStation 3,3.12,1.69,0.86,0.14,0.44
Dragon Quest IV,NES,3.12,0.08,NA,3.03,0.01
Rhythm Heaven,DS,3.12,0.55,0.50,1.93,0.14
Resident Evil 6,PlayStation 3,3.12,0.88,0.97,0.88,0.39
Tom Clancy's Ghost Recon Wildlands,PlayStation 4,3.12,1.07,1.35,0.22,0.47
NBA 2K13,Xbox 360,3.11,2.62,0.21,0.01,0.28
Titanfall,Xbox One,3.11,1.88,0.91,0.04,0.28
Bloodborne,PlayStation 4,3.11,1.30,1.05,0.28,0.48
Mass Effect 2,Xbox 360,3.10,1.99,0.81,0.03,0.27
Dragon Ball Z: Budokai,PlayStation 2,3.09,2.17,0.28,0.55,0.08
Madden NFL 2002,PlayStation 2,3.08,2.50,0.16,0.01,0.42
World Class Track Meet,NES,3.08,1.92,0.45,0.64,0.07
LEGO Batman: The Videogame,Wii,3.08,1.80,0.98,NA,0.29
Saints Row 2,Xbox 360,3.07,1.98,0.79,0.02,0.28
Donkey Kong,Game Boy Advance,3.07,1.57,0.62,0.55,0.34
The Sims: Vacation,PC,3.07,1.72,1.21,NA,0.14
Call of Duty: Ghosts,Xbox One,3.07,1.92,0.86,NA,0.28
Heavy Rain,PlayStation 3,3.06,1.29,1.24,0.06,0.48
LEGO Batman: The Videogame,DS,3.06,1.75,1.02,NA,0.29
Borderlands 2,Xbox 360,3.06,1.89,0.88,0.04,0.26
Kung Fu Panda,Xbox 360,3.05,1.91,0.84,NA,0.29
Mass Effect 3,Xbox 360,3.04,1.94,0.84,0.03,0.24
Metal Gear Solid V: The Phantom Pain,PlayStation 4,3.04,0.97,1.15,0.50,0.42
Rayman,PlayStation,3.03,1.54,1.33,NA,0.16
Tom Clancy's Splinter Cell,Xbox,3.02,1.85,1.04,NA,0.13
Killzone: Shadow Fall,PlayStation 4,3.02,0.89,1.58,0.08,0.47
Mike Tyson's Punch-Out!!,NES,3.02,2.03,0.47,0.45,0.07
WWE SmackDown! Shut Your Mouth,PlayStation 2,3.02,1.45,1.13,0.07,0.38
Disney Epic Mickey,Wii,3.02,2.04,0.63,0.12,0.23
Killzone 2,PlayStation 3,3.02,1.40,1.07,0.08,0.46
inFAMOUS: Second Son,PlayStation 4,3.01,1.35,1.09,0.07,0.50
Dragon Ball Z: Budokai Tenkaichi 3,PlayStation 2,3.00,1.15,0.00,0.76,1.09
WWE SmackDown! vs. Raw 2006,PlayStation 2,3.00,1.57,1.02,NA,0.41
Star Fox,SNES,2.99,1.61,0.51,0.80,0.07
The Sims: Livin Large,PC,2.99,1.67,1.18,NA,0.13
inFAMOUS,PlayStation 3,2.99,1.76,0.68,0.12,0.42
World Soccer Winning Eleven 6 International,PlayStation 2,2.99,0.12,1.26,1.16,0.45
Devil May Cry,PlayStation 2,2.99,1.36,0.86,0.64,0.13
Far Cry 3,Xbox 360,2.98,1.38,1.33,0.02,0.25
Star Wars: The Old Republic,PC,2.97,1.59,1.01,NA,0.37
Sonic Heroes,PlayStation 2,2.96,1.04,1.37,0.06,0.49
Battlefield: Bad Company 2,PlayStation 3,2.96,1.33,1.11,0.08,0.44
Hitman 2: Silent Assassin,PlayStation 2,2.96,1.36,1.15,0.04,0.41
Street Fighter IV,Xbox 360,2.95,1.83,0.70,0.15,0.26
Wave Race 64,Nintendo 64,2.94,1.98,0.58,0.34,0.04
SOCOM II: U.S. Navy SEALs,PlayStation 2,2.94,2.22,0.51,0.06,0.15
WWE SmackDown! vs. RAW 2006,PlayStation 2,2.94,1.45,1.11,0.04,0.33
Pac-Man Collection,GBA,2.94,2.07,0.77,0.05,0.05
Gran Turismo,PSP,2.93,0.43,1.40,0.31,0.78
Madden NFL 13,Xbox 360,2.93,2.53,0.16,NA,0.24
Kirby Super Star Ultra,DS,2.92,1.55,0.04,1.19,0.15
Yoshi,Game Boy Advance,2.92,1.57,0.62,0.73,NA
Doom (2016),PlayStation 4,2.92,0.93,1.48,0.04,0.46
Mass Effect,Xbox 360,2.91,1.83,0.79,0.03,0.27
FIFA 15,Xbox 360,2.91,0.80,1.90,NA,0.21
Yoshi's Island: Super Mario Advance 3,GBA,2.91,1.75,0.45,0.62,0.09
Sonic Mega Collection Plus,PlayStation 2,2.90,1.54,1.14,NA,0.22
Mortal Kombat (2011),PlayStation 3,2.90,1.98,0.54,NA,0.38
World Soccer Winning Eleven 7 International,PlayStation 2,2.90,0.08,1.24,1.13,0.45
Sega Superstars Tennis,Xbox 360,2.89,1.75,0.86,NA,0.28
Cooking Mama: Cook Off,Wii,2.89,1.41,1.12,0.05,0.30
Hot Shots Golf 3,PlayStation 2,2.89,0.99,0.32,1.38,0.20
WarioWare: Smooth Moves,Wii,2.89,0.86,1.05,0.73,0.26
Call of Duty: Finest Hour,PlayStation 2,2.89,1.51,1.12,0.01,0.24
Syphon Filter,PlayStation,2.88,2.03,0.72,0.02,0.11
Imagine: Babyz,DS,2.87,1.30,1.26,NA,0.31
Mafia III,PlayStation 4,2.87,0.72,1.67,0.04,0.44
Colin McRae Rally,PlayStation,2.87,0.09,2.43,0.12,0.22
The Elder Scrolls III: Morrowind,Xbox,2.86,2.09,0.63,0.03,0.11
Assassin's Creed: Brotherhood,PlayStation 3,2.85,1.87,0.57,0.11,0.30
Command & Conquer: Red Alert,PC,2.85,1.37,1.34,NA,0.14
F-Zero,SNES,2.85,1.37,0.51,0.89,0.07
Yoshi's Story,Nintendo 64,2.85,1.29,0.53,0.98,0.05
Zumba Fitness 2,Wii,2.83,1.52,1.05,NA,0.26
Madden NFL 10,Xbox 360,2.83,2.52,0.09,NA,0.22
BioShock,Xbox 360,2.83,1.65,0.85,0.05,0.28
WWE SmackDown! vs. Raw,PlayStation 2,2.83,1.32,1.08,0.04,0.39
Metroid Prime,GameCube,2.82,1.96,0.67,0.10,0.09
Finding Nemo,GBA,2.82,1.59,1.05,0.04,0.14
Medal of Honor,PlayStation 3,2.82,1.28,1.04,0.07,0.43
Diablo III: Ultimate Evil Edition,PlayStation 4,2.82,0.83,1.48,0.08,0.44
Gran Turismo (PSP),PSN,2.82,0.43,0.91,0.31,1.16
Monster Hunter 3G,3DS,2.82,0.46,0.32,1.96,0.08
Myst,PC,2.81,0.02,2.79,NA,NA
Need for Speed: Hot Pursuit,PlayStation 3,2.81,1.05,1.24,0.03,0.49
Imagine: Fashion Designer,DS,2.81,1.32,1.19,NA,0.30
Killzone 3,PlayStation 3,2.81,1.46,0.87,0.09,0.38
WWE SmackDown! Here Comes the Pain,PlayStation 2,2.80,1.32,1.06,0.04,0.38
Hot Shots Golf,PlayStation,2.79,0.29,0.20,2.13,0.18
Skylanders: Spyro's Adventure,Wii,2.79,1.35,1.15,NA,0.30
A Bug's Life,PlayStation,2.79,1.96,0.72,NA,0.11
WWF SmackDown! Just Bring It,PlayStation 2,2.79,1.19,1.15,0.04,0.41
Dragon Quest V: Tenkuu no Hanayome,SNES,2.79,NA,NA,2.78,0.01
Mortal Kombat Trilogy,PlayStation,2.79,1.98,0.70,NA,0.11
NBA Street,PlayStation 2,2.79,2.19,0.22,NA,0.38
Jak II,PlayStation 2,2.78,1.68,0.74,NA,0.36
Ratchet & Clank: Going Commando,PlayStation 2,2.78,1.44,0.83,0.26,0.25
The Sims,PlayStation 2,2.77,1.41,1.12,NA,0.24
Star Wars: The Force Unleashed,Xbox 360,2.77,1.74,0.78,NA,0.26
Saints Row: The Third,Xbox 360,2.77,1.26,1.14,0.07,0.30
Yoshi's Island DS,DS,2.77,1.45,0.07,1.10,0.15
Tekken 6,PlayStation 3,2.77,1.20,0.97,0.17,0.42
Missile Command,2600,2.76,2.56,0.17,NA,0.03
Battlefield 3,PC,2.76,0.89,1.44,NA,0.43
Mario Paint,SNES,2.75,1.43,0.54,0.71,0.07
Sonic and the Secret Rings,Wii,2.75,1.23,1.19,0.04,0.30
Need for Speed: Most Wanted (2012),PlayStation 3,2.74,0.71,1.52,0.06,0.45
Pokémon Stadium 2,Nintendo 64,2.73,1.02,0.36,1.13,0.23
L.A. Noire,Xbox 360,2.73,1.55,0.92,0.02,0.24
Metroid,NES,2.73,1.33,0.31,1.04,0.05
Far Cry: Primal,PlayStation 4,2.73,0.63,1.61,0.07,0.41
Overwatch,Xbox One,2.72,1.63,0.84,NA,0.25
Need for Speed (2015),PlayStation 4,2.72,0.59,1.66,0.06,0.41
Madden NFL 13,PlayStation 3,2.71,2.12,0.24,NA,0.36
Skate 3,Xbox 360,2.71,1.47,0.99,NA,0.25
Tom Clancy's Rainbow Six: Siege,Xbox One,2.71,1.62,0.84,NA,0.25
The Legend of Zelda: A Link to the Past,GBA,2.70,1.75,0.52,0.33,0.10
Onimusha: Warlords,PlayStation 2,2.70,0.99,0.48,1.09,0.14
Madden NFL 12,Xbox 360,2.70,2.43,0.11,NA,0.16
Mario Party,Nintendo 64,2.70,1.25,0.53,0.87,0.05
Call of Duty 3,Xbox 360,2.70,1.49,0.92,0.02,0.27
LEGO Star Wars II: The Original Trilogy,PlayStation 2,2.69,1.85,0.64,0.01,0.19
Madden NFL 11,Xbox 360,2.69,2.38,0.12,NA,0.19
Burnout 3: Takedown,PlayStation 2,2.68,1.23,1.11,NA,0.34
Professor Layton and the Last Specter,DS,2.68,0.28,1.41,0.68,0.32
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2.68,1.63,0.51,0.35,0.18
Mortal Kombat,GEN,2.67,1.95,0.63,NA,0.09
Halo Wars,Xbox 360,2.67,1.58,0.80,0.04,0.25
Call of Duty 2: Big Red One,PlayStation 2,2.67,1.48,0.92,0.01,0.26
Medal of Honor,PlayStation,2.67,1.44,1.09,NA,0.14
Fable,Xbox,2.66,1.99,0.58,NA,0.09
Guitar Hero: World Tour,Xbox 360,2.66,1.78,0.64,NA,0.25
WWE SmackDown! Shut Your Mouth,PlayStation 2,2.66,1.32,1.29,0.04,NA
Final Fantasy XIII-2,PlayStation 3,2.66,0.78,0.75,0.89,0.23
Medal of Honor Heroes,PSP,2.66,0.86,1.11,0.01,0.67
Hannah Montana,DS,2.65,1.59,0.80,NA,0.26
Need for Speed: Shift,PlayStation 3,2.65,0.69,1.40,0.04,0.52
Tom Clancy's Splinter Cell,PlayStation 2,2.65,1.15,1.11,NA,0.40
Super Mario Bros. 2 (FDS),NES,2.65,NA,NA,2.65,0.00
Star Wars: Shadows of the Empire,Nintendo 64,2.65,2.00,0.50,0.12,0.03
Medal of Honor,Xbox 360,2.64,1.58,0.80,0.04,0.22
NBA 2K12,Xbox 360,2.64,2.32,0.14,0.01,0.17
Midnight Club: Street Racing,PlayStation 2,2.63,2.00,0.47,0.02,0.14
NBA 2K13,PlayStation 3,2.63,1.74,0.46,0.05,0.39
NBA 2K19,PlayStation 4,2.63,1.69,0.44,0.03,0.47
ESPN NFL 2K5,PlayStation 2,2.62,2.15,0.12,NA,0.36
Tekken: Dark Resurrection,PSP,2.62,0.76,1.10,0.12,0.65
Madden NFL 18,PlayStation 4,2.62,1.73,0.42,NA,0.47
FIFA Soccer 10,Xbox 360,2.62,0.60,1.79,0.01,0.23
Super Mario All-Stars: Limited Edition,Wii,2.62,1.04,0.52,0.92,0.14
LittleBigPlanet,PSP,2.61,0.65,1.27,0.01,0.68
Harry Potter and the Chamber of Secrets,PlayStation 2,2.61,0.90,1.22,0.04,0.44
God of War Collection,PlayStation 3,2.60,1.70,0.45,0.06,0.40
Streets of Rage,GEN,2.60,1.86,0.55,0.11,0.08
Grand Theft Auto: Episodes from Liberty City,Xbox 360,2.60,1.08,1.22,0.03,0.27
LEGO Star Wars: The Complete Saga,Xbox 360,2.59,1.53,0.83,NA,0.24
Mario + Rabbids: Kingdom Battle,Switch,2.59,1.10,1.08,0.22,0.20
Tom Clancy's The Division,Xbox One,2.59,1.54,0.82,NA,0.24
FIFA Soccer 09,PlayStation 3,2.59,0.49,1.63,0.04,0.43
Mario Strikers Charged,Wii,2.59,1.05,1.05,0.24,0.24
NBA Live 2005,PlayStation 2,2.59,2.03,0.21,NA,0.35
Style Savvy,DS,2.58,0.62,0.82,0.96,0.18
Monster Hunter Freedom 2,PSP,2.58,0.37,0.27,1.75,0.18
WWE SmackDown vs. RAW 2007,PlayStation 2,2.58,1.40,0.88,0.03,0.26
Skylanders Giants,Wii,2.58,1.49,0.86,NA,0.23
Ratchet & Clank: Up Your Arsenal,PlayStation 2,2.57,1.31,0.74,0.31,0.22
Madden NFL 08,PlayStation 2,2.57,2.14,0.08,NA,0.35
NBA 2K14,Xbox 360,2.57,2.11,0.19,0.00,0.27
Ratchet & Clank Future: Tools of Destruction,PlayStation 3,2.57,0.93,1.10,0.08,0.45
Hot Shots Golf,PlayStation,2.56,0.26,0.17,2.13,NA
Sonic Adventure 2 Battle,GameCube,2.56,1.70,0.59,0.21,0.07
Dragon Age: Origins,Xbox 360,2.56,1.76,0.55,0.03,0.22
Dragon Quest II,NES,2.56,0.15,NA,2.41,0.00
Yokai Watch,3DS,2.55,0.44,0.68,1.34,0.09
FIFA 16,PlayStation 3,2.55,0.43,1.68,0.05,0.38
Pokémon Colosseum,GameCube,2.54,1.21,0.57,0.70,0.07
Madden NFL 09,Xbox 360,2.54,2.21,0.12,NA,0.20
Space Invaders,2600,2.53,2.36,0.14,NA,0.03
Art Academy,DS,2.52,0.26,1.66,0.33,0.27
Crazy Taxi,PlayStation 2,2.52,1.13,1.12,0.06,0.22
Perfect Dark,Nintendo 64,2.52,1.55,0.75,0.16,0.06
Dragon Warrior,NES,2.52,0.49,NA,0.52,1.51
Tomb Raider (2013),PlayStation 3,2.51,0.60,1.45,0.08,0.38
Deca Sports,Wii,2.50,1.11,0.86,0.29,0.25
Midnight Club: Los Angeles,PlayStation 3,2.50,1.59,0.54,0.05,0.33
PES 2009: Pro Evolution Soccer,PlayStation 2,2.50,0.13,0.07,0.26,2.05
Mario Party 2,Nintendo 64,2.50,1.28,0.14,1.08,0.01
The Legend of Zelda: Majora's Mask 3D,3DS,2.50,1.20,0.64,0.48,0.18
Marvel: Ultimate Alliance,Xbox 360,2.50,2.29,0.02,NA,0.19
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,Xbox,2.49,1.84,0.56,NA,0.09
NBA 2K15,PlayStation 4,2.49,1.49,0.55,0.01,0.44
Game Party,Wii,2.49,1.47,0.77,NA,0.24
Mortal Kombat: Deadly Alliance,PlayStation 2,2.49,1.81,0.52,NA,0.15
Saints Row: The Third,PlayStation 3,2.48,0.86,1.06,0.18,0.37
Tomb Raider: The Last Revelation,PlayStation,2.48,1.15,1.14,0.06,0.13
Assassin's Creed Origins,Xbox One,2.47,1.34,0.92,NA,0.22
Pure,Xbox 360,2.47,1.38,0.84,0.00,0.25
Mario Party 4,GameCube,2.47,1.13,0.36,0.92,0.07
Rock Band,Xbox 360,2.47,1.93,0.33,NA,0.21
Minecraft,PlayStation Vita,2.47,0.22,0.73,1.25,0.27
Resistance 2,PlayStation 3,2.47,1.15,0.84,0.10,0.38
Madden NFL 16,Xbox One,2.47,2.13,0.08,NA,0.26
1-2-Switch,Switch,2.46,0.62,1.20,0.50,0.15
Dying Light,PlayStation 4,2.45,1.18,0.74,0.13,0.40
Final Fantasy Tactics,PlayStation,2.45,0.93,0.12,1.34,0.06
Final Fantasy V,SNES,2.45,NA,NA,2.43,0.02
LEGO Harry Potter: Years 1-4,Wii,2.45,1.29,0.94,NA,0.22
uDraw Studio,Wii,2.44,1.65,0.58,NA,0.21
Madden NFL 17,Xbox One,2.44,2.14,0.04,NA,0.26
Twisted Metal 2,PlayStation,2.44,2.12,0.25,NA,0.07
Yokai Watch Blasters: Red Cat Corps / White Dog Squad,3DS,2.44,0.07,0.05,2.30,0.01
The Sims: Bustin' Out,PlayStation 2,2.43,1.07,1.19,NA,0.18
Riven: The Sequel to Myst,PC,2.43,1.52,0.82,NA,0.10
Need for Speed Carbon: Own the City,PSP,2.42,0.87,0.97,NA,0.58
New Super Luigi U,Wii U,2.42,1.25,0.75,0.22,0.20
Ice Hockey,NES,2.42,1.27,0.32,0.78,0.05
Sonic Adventure,Dreamcast,2.42,1.26,0.61,0.46,0.08
Tom Clancy's Rainbow Six: Vegas 2,Xbox 360,2.42,1.56,0.61,0.02,0.23
Dark Souls III,PlayStation 4,2.42,1.00,0.63,0.44,0.34
Dragon Ball Z: Budokai 2,PlayStation 2,2.41,1.63,0.22,0.51,0.06
Kinect: Disneyland Adventures,Xbox 360,2.41,1.73,0.43,0.02,0.23
Pro Evolution Soccer 2011,PlayStation 3,2.41,0.29,1.18,0.54,0.41
ATV Offroad Fury,PlayStation 2,2.41,2.07,0.26,NA,0.08
Dino Crisis,PlayStation,2.41,0.81,0.76,0.70,0.14
NBA 2K16,Xbox One,2.41,2.01,0.15,NA,0.25
Halo: Combat Evolved Anniversary,Xbox 360,2.41,1.44,0.71,0.04,0.22
Need for Speed: ProStreet,PlayStation 2,2.41,0.69,0.00,0.04,1.68
Paper Mario: Sticker Star,3DS,2.41,1.12,0.49,0.64,0.15
Tetris Plus,PlayStation,2.40,2.10,0.24,NA,0.07
Forza Motorsport 5,Xbox One,2.40,1.28,0.90,0.01,0.21
Midnight Club: Los Angeles,Xbox 360,2.40,1.72,0.45,0.01,0.22
Mario Party: Island Tour,3DS,2.40,0.66,1.04,0.56,0.14
Pro Wrestling,NES,2.40,0.77,0.18,1.42,0.03
Theme Hospital,PC,2.40,2.30,0.10,NA,NA
God of War: Ascension,PlayStation 3,2.40,1.23,0.72,0.04,0.41
Madden NFL 11,PlayStation 3,2.40,2.05,0.15,NA,0.20
Batman: Arkham Origins,PlayStation 3,2.40,1.08,0.88,0.04,0.40
Frogger's Adventures: Temple of the Frog,GBA,2.39,2.15,0.18,NA,0.07
Zumba Fitness,Xbox 360,2.39,1.74,0.45,NA,0.20
Monopoly,PC,2.39,1.49,0.81,NA,0.10
Mortal Kombat II (US & Others sales),GEN,2.39,1.78,0.53,NA,0.08
Guitar Hero,PlayStation 2,2.38,1.67,0.61,0.03,0.07
Dead Island,Xbox 360,2.38,1.48,0.70,NA,0.21
WCW/nWo Revenge,Nintendo 64,2.38,1.94,0.39,0.03,0.02
